,league_id,name,country,year,players,statistics_fixtures,current,predictions,odds
0,61,Ligue 1,France,2010,True,False,False,True,False
1,61,Ligue 1,France,2011,True,False,False,True,False
2,61,Ligue 1,France,2012,True,False,False,True,False
3,61,Ligue 1,France,2013,True,False,False,True,False
4,61,Ligue 1,France,2014,True,False,False,True,False
5,61,Ligue 1,France,2015,True,True,False,True,False
6,61,Ligue 1,France,2016,True,True,False,True,False
7,61,Ligue 1,France,2017,True,True,False,True,False
8,61,Ligue 1,France,2018,True,True,False,True,False
9,61,Ligue 1,France,2019,True,True,False,True,False
10,61,Ligue 1,France,2020,True,True,False,True,False
11,61,Ligue 1,France,2021,True,True,False,True,False
12,61,Ligue 1,France,2022,True,True,False,True,False
13,61,Ligue 1,France,2023,True,True,False,True,False
14,61,Ligue 1,France,2024,True,False,True,True,False
15,144,Jupiler Pro League,Belgium,2010,True,False,False,True,False
16,144,Jupiler Pro League,Belgium,2011,True,False,False,True,False
17,144,Jupiler Pro League,Belgium,2012,True,False,False,True,False
18,144,Jupiler Pro League,Belgium,2013,True,False,False,True,False
19,144,Jupiler Pro League,Belgium,2014,True,False,False,True,False
20,144,Jupiler Pro League,Belgium,2015,True,True,False,True,False
21,144,Jupiler Pro League,Belgium,2016,True,True,False,True,False
22,144,Jupiler Pro League,Belgium,2017,True,True,False,True,False
23,144,Jupiler Pro League,Belgium,2018,True,True,False,True,False
24,144,Jupiler Pro League,Belgium,2019,True,True,False,True,False
25,144,Jupiler Pro League,Belgium,2020,True,True,False,True,False
26,144,Jupiler Pro League,Belgium,2021,True,True,False,True,False
27,144,Jupiler Pro League,Belgium,2022,True,True,False,True,False
28,144,Jupiler Pro League,Belgium,2023,True,True,False,True,False
29,144,Jupiler Pro League,Belgium,2024,True,False,True,True,False
30,39,Premier League,England,2010,True,False,False,True,False
31,39,Premier League,England,2011,True,False,False,True,False
32,39,Premier League,England,2012,True,False,False,True,False
33,39,Premier League,England,2013,True,False,False,True,False
34,39,Premier League,England,2014,True,True,False,True,False
35,39,Premier League,England,2015,True,True,False,True,False
36,39,Premier League,England,2016,True,True,False,True,False
37,39,Premier League,England,2017,True,True,False,True,False
38,39,Premier League,England,2018,True,True,False,True,False
39,39,Premier League,England,2019,True,True,False,True,False
40,39,Premier League,England,2020,True,True,False,True,False
41,39,Premier League,England,2021,True,True,False,True,False
